1,Upenn,,,
165,National Society of Black Engineers,1,S
166,National Society of Collegiate Scholars ,1,S
167,Naval ROTC Cadets,1,S
168,New Spirit of Penn Gospel Choir,1,S
169,Newman Catholic Community ,1,S
170,Nominations and Elections Committee (NEC),1,S
171,Nursing Graduate Student Organization,1,S
172,Off the Beat,1,S
173,Onda Latina,1,S
174,Onyx Senior Society,1,S
175,Oracle Senior Society ,1,S
176,Orthodox Christian Fellowship ,1,S
177,Orthodox Community at Penn,1,S
178,P.A.C.E. (Program for Awareness in Cultural Education),1,S
179,P.R.I.S.M. ,1,S
180,Pakistan Society,1,S
181,Pan Asian Dance Troupe,1,S
182,Panhellenic Council,1,S
183,Peking University Philadelphia Alumni (PUPA),1,S
184,Penn Academic Demolition Team,1,S
185,Penn African Students Association (PASA),1,S
186,Penn AIDS Awareness ,1,S
187,Penn Alumni Student Society (PASS) ,1,S
188,Penn American Red Cross Club,1,S
189,Penn Arab Students Society (PASS),1,S
190,Penn Baroque and Recorder Ensembles,1,S
191,Penn Bioethics Society,1,S
192,Penn Biotech Group,1,S
193,Penn Chamber Music Society,1,S
194,Penn Collective,1,S
195,Penn Consortium of Undergraduate Women,1,S
196,Penn Cycling,1,S
197,Penn Dance,1,S
198,Penn for Choice,1,S
199,Penn for Life ,1,S
200,Penn Gamers,1,S
201,Penn International Business Volunteers,1,S
202,Penn International Business Volunteers,1,S
203,Penn Kesher: Reform Jewish Community,1,S
204,Penn Leads the Vote ,1,S
205,Penn Libertarians,1,S
206,Penn Masala,1,S
207,Penn MERT,1,S
208,Penn Model Congress,1,S
209,Penn Music Mentoring Program,1,S
210,Penn Outdoors ,1,S
211,Penn Philippine Association,1,S
212,Penn Players,1,S
213,Penn Polish Society,1,S
214,Penn Review,1,S
215,Penn Singers,1,S
216,Penn Society for International Development,1,S
217,Penn Student Agencies,1,S
218,Penn Students for Animal Rights,1,S
219,Penn Triangle,1,S
220,Penn West Philadelphia Basketball League,1,S
221,Penn Women's Biomedical Society,1,S
222,PENNaach ,1,S
223,PenNaatak ,1,S
224,Pennchants,1,S
225,PennDesign Black Student Alliance,1,S
226,PennFlight,1,S
227,PennForum,1,S
228,Pennguinettes,1,S
229,PENNpals,1,S
230,Penn's Higher Education Student Association ,1,S
231,PennScience: Journal of Undergraduate Research,1,S
232,PennSID,1,S
233,Pennsylvania Investment Alliance,1,S
234,Pennsylvania Six-5000,1,S
235,Penny Loafers,1,S
236,PennYo,1,S
237,Performing Arts Council (PAC),1,S
238,Perspectives in Humanities,1,S
239,Phi Gamma Nu,1,S
240,Phi Gamma Nu Business Fraternity,1,S
241,Philadelphia Alliance for Labor Support,1,S
242,Philomathean Society,1,S
243,Pi Alpha Theta History Honor Society,1,S
244,Poor Richard's Record (yearbook),1,S
245,Preceptorials Committee,1,S
246,Programs for Awareness in Cultural Education (P.A.C.E.),1,S
247,Punch Bowl,1,S
248,Quadramics,1,S
249,Quaker Notes,1,S
250,Queer Student Alliance,1,S
251,R.A.P. Line Online,1,S
252,Rangoli: Indian Association at Penn,1,S
253,Reach A Peer Helpline,1,S
254,Reach-a-Peer (R.A.P.) Help Line,1,S
255,Rebuilding Together,1,S
256,Reform Jewish Community (Kesher),1,S
257,Renewal Christian Fellowship ,1,S
258,"Res, A Journal of Undergraduate Research ",1,S
259,Residential Advisory Board (RAB) ,1,S
260,Roller Hockey Club,1,S
261,Ryukyu Kempo Club,1,S
262,Sailing Team,1,S
263,Simply Chaos,1,S
264,Six Directions,1,S
265,Ski Team,1,S
266,Social Planning and Events Committee (SPEC),1,S
267,Society of Hispanic Professional Engineers,1,S
268,Society of Systems Engineers,1,S
269,Society of Women Engineers,1,S
270,Soundworks Tap Factory,1,S
271,South Asia Society,1,S
272,Sparks Dance Company,1,S
273,Speakeasy ,1,S
274,SPEC (Social Planning and Events Committee),1,S
275,SPEC Concerts,1,S
276,SPEC Film Society,1,S
277,SPEC Jazz & Grooves,1,S
278,SPEC Special Events,1,S
279,SPEC Spring Fling,1,S
280,SPEC To Represent Undergraduate Minorities (SPEC-TRUM),1,S
281,Special Species Symposium,1,S
282,Sphinx Senior Society,1,S
283,Sports Club Council,1,S
284,Stimulus Children's Theater,1,S
285,Strictly Funk,1,S
286,Student Activities Council (SAC),1,S
287,Student Ambassadors of the World ,1,S
288,Student Committee on Undergraduate Education (SCUE),1,S
289,Student Nurses at Penn,1,S
290,Student Theatre Arts Body (STAB),1,S
291,Tae Kwon Do Club,1,S
292,Taiwanese Society,1,S
293,Tau Beta Pi,1,S
